"trial","ref_position","var_area","response","correct","rt"
1,"L",12.3371670849156,"R",TRUE,3.19299983978271
2,"R",8.69617351400666,"R",TRUE,0.993000030517578
3,"L",12.6161282316316,"R",TRUE,1.40100002288818
4,"R",10.2050895905122,"L",TRUE,1.29700016975403
5,"L",8.17391426907852,"L",TRUE,2.69700002670288
6,"R",13.7776613808237,"L",TRUE,0.990999937057495
7,"R",14.8085262365639,"L",TRUE,1.20000004768372
8,"R",14.6832523830235,"L",TRUE,1.1029999256134
9,"L",13.2253930068109,"R",TRUE,0.990000009536743
10,"L",10.9800942300353,"R",TRUE,2.69200015068054
11,"R",10.8469474907033,"L",TRUE,1.89100003242493
12,"L",13.9328164393082,"R",TRUE,0.898000001907349
13,"L",8.45681547443382,"L",TRUE,1.59500002861023
14,"L",12.4081945135258,"R",TRUE,1.09699988365173
15,"R",9.38276777369902,"R",FALSE,1.69200015068054
16,"R",8.3514578694012,"R",TRUE,1.09899997711182
17,"L",8.32575594563968,"L",TRUE,1.78999996185303
18,"R",9.13100970117375,"R",FALSE,1.39199995994568
19,"R",13.3489192069974,"L",TRUE,2.19199991226196
20,"L",8.18660542112775,"L",TRUE,2.79299998283386
